2018-12-21 10:22:34.748 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:22:44.788 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:22:50.622 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:22:52.180 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:01.566 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:03.116 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:04.276 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:06.212 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:09.972 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:10.715 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:26.173 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:49.010 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:23:59.611 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:24:08.026 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:24:09.411 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:24:29.669 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:24:38.051 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:24:42.083 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:25:18.115 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:26:22.659 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:oracle:thin:@//47.94.82.14:31521/PDB
2018-12-21 10:26:25.266 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:oracle:thin:@//47.94.82.14:31521/PDB
2018-12-21 10:26:25.661 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:oracle:thin:@//47.94.82.14:31521/PDB
2018-12-21 10:26:26.013 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:oracle:thin:@//47.94.82.14:31521/PDB
2018-12-21 10:26:26.359 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:oracle:thin:@//47.94.82.14:31521/PDB
2018-12-21 10:26:26.747 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:oracle:thin:@//47.94.82.14:31521/PDB
2018-12-21 10:26:27.163 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:oracle:thin:@//47.94.82.14:31521/PDB
2018-12-21 10:26:36.667 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:oracle:thin:@//47.94.82.14:31521/PDB
2018-12-21 10:32:30.675 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:32:42.578 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:34:27.427 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
